no,ci,cr,ct,pn,pl,lus,wc,bf,esd, tcag , afa , gfa , bh ,nb,tfn,nfag,nfbg,ft,dsc,dsho, ca ,dp, ac ,codr,accodr
1,awei zoon  higher court,Amhara Buliding Constrction Company,ANRS road and buliding designe ane consultancy,west  gojiam zoon  higher court,debre markos,Urban,warm temprature, court Office,No,"3,798.00","2,234.32","16,621.28",29.5,1,7,6,1,open,2/10/2017GC,3/8/2017GC,150691639.34,12/16/2020GC,209159721.23,730.00,1364.00
2,habru wereda adminstration,Amhara Buliding Constrction Company,Lihket designe ane supervision interprise,habru wereda admin office buliding,habru,Sub Urban,cold,Office,No,"1,632.00","1,491.00","7,456.19",16.8,1,5,5,0,open,5/30/2018GC,6/19/18GC,55528073.01,8/8/2020GC,79890872.48,610.00,796.00
3,ataye loan and saving institute ,Amhara Buliding Constrction Company,Lihket designe ane supervision interprise,ataye loan and saving institute ,ataye,Sub Urban,warm temprature,Office,No,871.82,437.06,"1,311.18",12.8,1,3,4,0,open,4/7/2016GC,4/22/2016GC,16943252.80,9/25/2017GC,17259859.21,400.00,521.00
4,Gozamen Woreda Administration,Moges Abeje B.C,E/Gojjam zone urban development housing & construction Department,Gozamen Woreda Administration Office Building,Debre Markos,Urban,Temprate,Office,Yes,"2,564.92","1,308.56","6,542.81",21.5,1,5,3,1,Open,8/8/2012 E.C,10/08/2012 E.C,29716046.90,23/05/2016 E.C,49695148.90,552.00,1375.00
5,weldya cradit  and saving institute ,Amhara Buliding Constrction Company,Lihket designe ane supervision interprise,weldya loan and saving institute ,weldya, Urban,warm temprature,Office,No,806.83,483.35,20.39,8.8,1,5,4,1,open,4/7/2016GC,4/22/2016GC,24873748.94,2/28/2018GC,35365289.77,450.00,601.00
6,ACSI ,Moges Abeje B.C,Getall Consulting PLC,ACSI Building,Sela Dingay,Sub Urban,Hot,Office,No,324.99,269.12,269.12,4.1,1,1,0,0,Open,21/12/2013 E.C,10/01/2014 E.C,7107733.70,30/09/2014 E.C,7855544.40,180.00,260.00
7,ACIS,Moges Abeje B.C,Getall Consulting PLC,ACSI Building,Mehal Meda,Sub Urban,Hot,Office,No,733.01,476.96,476.96,4.2,1,1,0,0,Open,21/12/2013 E.C,11/01/2014 E.C,13843426.74,01/02/2016 E.C,13843426.74,180.00,386.00
8,ANRS Education Bureau,Moges Abeje B.C,Mekidela Consruction PLC,Libo Giyorgis Secondary School,Addis Zemen,Sub Urban,Hot,"Class Room, Office",No,"1,587.18",203.32,"1,423.21",6.15,7,7,0,0,Open,08/06/2015 E.C,15/06/2015 E.C,2901690.47,20/02/2016 E.C,29011690.47,100.00,300.00
9,Amhara ForestEnterprise,Moges Abeje B.C,MVR Construction PLC,Timber Factory,Debre Markos,Urban,Temprate,Office,No,"1,040.48",251.71,"1,006.83",6.6,4,4,0,0,Open,18/01/2015 E.C,20/01/2015 E.C,28354065.29,12/10/2015 E.C,30833028.57,180.00,227.00
10,FDRE Agricultural Transformation Agency,Moges Abeje B.C,North Mecha A/Office,Holticultural Primary Market,Merawi,Sub Urban,Hot,Market Shade,Yes,"3,249.00",583.81,"1,751.43",7.6,3,3,0,0,Open,21/12/2012 E.C,29/12/2012 E.C,5065604.31,09/02/2014 E.C,5724031.69,180.00,410.00
11,ACSI ,Moges Abeje B.C,Sarzna Engineering Construction PLC,G+4 Office Building Construction,Finote Selam,Urban,Hot,Office,Yes,857.6,340.08,"1,700.41",17.2,1,5,4,0,Open,02/09/2013 E.C,17/09/2013 E.C,30921697.44,08/01/2016 E.C,31763486.14,420.00,756.00
12,Baso & Worena wereda health bureau,Moges Abeje B.C,N/S/Z/H/ Department,Gudoberet health center,Baso & Worena,Rural,Temprate,Health Center,No,"1,103.25",336.42,672.84,7.4,1,2,1,0,Open,20/08/2008 E.C,20/09/2008 E.C,4688167.14,20/11/2011 E.C,5009558.49,300.00,1155.00
13,ANRS TVET Bureau,Moges Abeje B.C,East Gojjam Zone technical vocational & enterprise Department D/Markos,Yejubie TVET work shop,Yejubie,Sub Urban,Cold,"work shop, Class Room",No,"1,484.37",425.31,"1,275.93",4.2,3,1,0,0,Open,20/10/2008 E.C,22/10/2008 E.C,7312315.67,3/08/2010 E.C,8033958.79,240.00,620.00
14,Gozamen Woreda Administration,Moges Abeje B.C,E/Gojjam zone urban development housing & construction Department,Gozamen Woreda Administration Office Building,Debre Markos,Urban,Temprate,Office,Yes,"2,564.92","1,308.56","6,542.81",21.5,1,5,3,1,Open,8/8/2012 E.C,10/08/2012 E.C,29716046.90,23/05/2016 E.C,49695148.90,552.00,1375.00
15,Meseta Market Center,Moges Abeje B.C,"Tesseract Architects, Planners & Engineer PLC",Construction of Mixed Use Building,Bahir Dar,Urban,Hot,Mixed Use,No,333.31,267.87,267.87,4.2,1,1,0,0,Open,01/07/2010 E.C,14/07/2010 E.C,4956874.61,23/11/2012 E.C,6498322.75,90.00,850.00
16,ANRS Education Bureau,Tsegaye Abeje G.C,Gonder City Administration,Gondar Administration Zone Airport Secondary School,Gondar,Urban,Temprate,Class Room,No,577.93,311.34,622.68,8,1,2,1,0,Open,09/11/2013 E.C,29/11/2013 E.C,4993171.87,12/04/2016 E.C,8535424.61,120.00,855.00
17,Gindewine TVET Project,Tsegaye Abeje G.C,E/Gojjam zone TVET,Gindewine TVET Project,Gindewine,Sub Urban,Cold,"Class Room, Office",yes,679.43,133.2,532.8,4.2,4,4,0,0,Open,06/09/2007 E.C,27/09/2007 E.C,5269014.74,24/12/2009 E.C,5906204.45,220.00,511.00
18,Amhara media corporation,wudnew mengie B.C,amhara media corporation,"amhara media corporation nursery, Toilet",Bahir Dar,Urban,Hot,"Nursery, Toilet",No,105.99,33.42,66.84,3.2,2,2,0,0,Open,01/04/2016 E.C,01/04/2016 E.C,1114498.45,01/08/2016 E.C,1399132.29,120.00,120.00
19,DTU,Habtie tilahun B.C,Ultimate Plan PLC,Class Room Building CL-S1,Debre Tabor,Urban,Temprate,Class Room,No,574.74,260.5,521,6.77,1,2,1,0,Limited,27/05/2008 E.C,27/05/2008 E.C,6838288.87,20/03/2009 E.C,8283611.67,180.00,293.00
20,DTU,Biset Asmamaw B.C,Ultimate Plan PLC,lecture hall,Debre Tabor,Urban,Temprate,class room,No,779.3,365.86,365.86,7.87,1,1,0,0,Open,12/02/2006 E.C,15/02/2006 E.C,1258590.03,09/02/2008 E.C,2401666.06,270.00,724.00
21,DTU,Biset Asmamaw B.C,Ultimate Plan PLC,4 laundary building,Debre Tabor,Urban,Temprate,wasing basin,No,576,144,576,4.1,4,0,0,0,Open,12/02/2006 E.C,15/02/2006 E.C,2192537.76,09/02/2008 E.C,2192537.76,270.00,727.00
22,DTU,Biset Asmamaw B.C,Ultimate Plan PLC,Laboratory CYT Building,Debre Tabor,Urban,Temprate,laboratory,No,"1,769.69",647,"1,941.00",13.37,1,3,2,0,Open,12/02/2006 E.C,15/02/2006 E.C,15472195.91,09/02/2008 E.C,16297770.60,270.00,727.00
23,DTU,Biset Asmamaw B.C,Ultimate Plan PLC,Dormitory DoT1-WTV Building,Debre Tabor,Urban,Temprate,Dormitory,No,"1,253.70",297.65,"1,785.92",11.7,2,6,2,0,Open,29/10/2006 E.C,30/10/2006 E.C,14724810.73,26/01/2008 E.C,17657929.91,180.00,456.00
24,DTU,Habtie tilahun B.C,Ultimate Plan PLC,Guard House Building,Debre Tabor,Urban,Temprate,Guard House,No,9.23,49,49,4.06,1,1,0,0,Open,19/07/2006 E.C,19/07/2006 E.C,1940753.80,06/12/2008 E.C,1940753.80,210.00,867.00
25,DTU,Takele Tadele B.C,Ultimate Plan PLC,Mekane Eyesus Dormitory Do T1,Mekane Eyesus,Sub Urban,Temprate,Dormitory,No,626.85,297.65,892.96,11.7,1,3,2,0,Limited,30/04/2008 E.C,05/05/2008 E.C,7988125.36,23/09/2009 E.C,11581364.09,180.00,503.00
26,DTU,Takele Tadele B.C,Ultimate Plan PLC,2 class room Cl D1 bilding,Debre Tabor,Urban,Temprate,Class Room,No,"2,325.32",380.46,"1,119.04",9.12,2,4,2,0,Open,19/10/2004 E.C,22/10/2004 E.C,6653003.60,27/12/2007 E.C,6847146.50,180.00,1160.00
27,DTU,Takele Tadele B.C,Ultimate Plan PLC,22 lecture hall LHD building,Debre Tabor,Urban,Temprate,Class Room,No,"1,951.23",365.86,731.72,7.87,2,2,0,0,Open,19/10/2004 E.C,22/10/2004 E.C,4579765.70,27/12/2007 E.C,4795652.13,180.00,1160.00
28,DTU,Takele Tadele B.C,CDSCO,1 dormitory T3 building,Debre Tabor,Urban,Temprate,dormitory,No,361.82,215.2,645.6,10.79,1,3,2,0,Open,12/06/2006 E.C,12/02/2006 E.C,3505028.89,16/03/2008 E.C,4599778.67,270.00,764.00
29,DTU,Takele Tadele B.C,CDSCO,G+2 dormitory Do T1,Debre Tabor,Urban,Temprate,dormitory,No,626.85,297.65,892.96,11.7,1,3,2,0,Open,12/06/2006 E.C,12/02/2006 E.C,8324579.37,16/03/2008 E.C,8686434.21,270.00,764.00
30,DTU,Takele Tadele B.C,CDSCO,G+2 administration building,Debre Tabor,Urban,Temprate,office,No,361.82,245.5,735.6,10.09,1,3,2,0,Open,12/06/2006 E.C,12/02/2006 E.C,3831235.21,16/03/2008 E.C,3997772.27,270.00,764.00
31,DTU,Haile H/Slassie B.C,Ultimate Plan PLC,Dormitory Do-CYT Building,Debre Tabor,Urban,Temprate,Dormitory,No,"1,290.03",615.1,"1,845.29",10.79,1,3,2,0,Open,25/06/2005 E.C,30/06/2005 E.C,5738325.52,11/08/2008 E.C,5738325.52,240.00,1137.00
32,DTU,Takele Tadele B.C,Ultimate Plan PLC,Dormitory Do-T1 Building,Debre Tabor,Urban,Temprate,Dormitory,No,626.85,297.65,892.96,11.7,1,3,2,0,Limited,10/06/2007 E.C,11/06/2007 E.C,7988125.37,08/06/2008 E.C,8828964.96,180.00,362.00
33,DTU,Agegn Demissie B.C,MH Engineering PLC,G+1 class room CL-D building,Debre Tabor,Urban,Temprate,Class Room,No,"1,769.42",279.76,559.52,9.12,1,2,1,0,Open,12/02/2006 E.C,15/02/2006 E.C,6998699.00,30/02/2008 E.C,6998699.00,300.00,745.00
34,DTU,Agegn Demissie B.C,MH Engineering PLC,G+2 laboratory cyt building,Debre Tabor,Urban,Temprate,laboratory,No,"1,769.69",647,"1,941.00",13.37,1,3,2,0,Open,12/02/2006 E.C,15/02/2006 E.C,15463935.12,30/02/2008 E.C,15463935.12,300.00,745.00
35,DTU,Assefa Alemu B.C,Ultimate Plan PLC,G+4 Dormitory and Site Work,Debre Tabor,Urban,Temprate,Dormitory,No,"1,342.75",564.79,"2,823.96",20.63,1,5,4,0,Open,09/07/2008 E.C,20/07/2008 E.C,27063736.18,23/12/2009 E.C,28131762.90,390.00,518.00
36,DTU,Habtie tilahun B.C,Ultimate Plan PLC,Laboratory CYT Building,Debre Tabor,Urban,Temprate,Laboratory,No,"1,769.69",647,"1,941.00",13.37,1,3,2,0,Open,26/03/2007 E.C,29/03/2007 E.C,15834840.11,01/03/2008 E.C,16657414.83,240.00,337.00
38,DTU,Habtie tilahun B.C,Ultimate Plan PLC,Student Launge,Debre Tabor,Urban,Temprate,Launge,No,996.5,391.28,391.28,7.21,1,1,0,0,Open,12/06/2006 E.C,15/06/2006 E.C,1319663.93,15/02/2008 E.C,1423171.24,270.00,610.00
39,DTU,Habtie tilahun B.C,Ultimate Plan PLC,G+2 dormitory cyt building,Debre Tabor,Urban,Temprate,dormitory,No,"1,290.03",615.1,"1,845.29",10.79,1,3,2,0,Open,12/06/2006 E.C,15/06/2006 E.C,12747100.93,15/02/2008 E.C,13746914.65,270.00,610.00
40,DTU,Habtie tilahun B.C,Ultimate Plan PLC,lecture hall LH-D1 building,Debre Tabor,Urban,Temprate,class room,No,975.61,365.86,365.86,7.87,1,1,0,0,Open,12/06/2006 E.C,15/06/2006 E.C,2401666.05,15/02/2008 E.C,2590039.76,270.00,610.00
41,DTU,Melese Asmamaw B.C,Ultimate Plan PLC,Dormitory Do-CYT Building,Debre Tabor,Urban,Temprate,Dormitory,No,"1,290.03",205.03,615.1,10.79,1,3,2,0,Open,26/03/2006 E.C,26/03/2006 E.C,12731640.16,21/01/2008 E.C,13045916.68,210.00,665.00
42,DTU,Abay Demissie B.C,Ultimate Plan PLC,Class Room CL-D Building,Debre Tabor,Urban,Temprate,"Class Room, Laboratory",No,"1,769.42",279.76,559.52,9.12,1,2,1,0,Open,27/07/2008 E.C,29/07/2008 E.C,16303332.85,29/01/2011 E.C,25209706.91,365.00,855.00
43,DTU,Abay Demissie B.C,Ultimate Plan PLC,G+2 laboratory cyt building,Debre Tabor,Urban,Temprate,laboratory,No,"1,769.69",647,"1,941.00",13.37,1,3,2,0,Open,27/07/2008 E.C,29/07/2008 E.C,13865233.42,29/01/2011 E.C,21439694.20,365.00,855.00
44,DTU,Dove Construction PLC,MH Engineering PLC,1 Class Room CL-D building,Debre Tabor,Urban,Temprate,Class Room,No,"1,162.66",279.76,559.52,9.12,1,2,1,0,Open,12/02/2006 E.C,15/02/2006 E.C,16931971.44,30/10/2007 E.C,16958769.99,210.00,620.00
45,DTU,Dove Construction PLC,MH Engineering PLC,G+2 seminar SE M1 building,Debre Tabor,Urban,Temprate,seminar,No,756.05,464.86,"1,394.58",11.97,1,3,2,0,Open,12/02/2006 E.C,15/02/2006 E.C,17425951.73,30/10/2007 E.C,17454659.98,210.00,620.00
46,DTU,Abay Demissie B.C,Ultimate Plan PLC,Class Room CL-D1 Building,Debre Tabor,Urban,Temprate,Class Room,No,"1,162.66",279.76,559.52,9.12,1,2,1,0,Open,26/03/2007 E.C,28/03/2007 E.C,17728617.38,04/02/2010 E.C,26850548.34,270.00,1047.00
47,DTU,Dove Construction PLC,MH Engineering PLC,Class Room CL-D building,Debre Tabor,Urban,Temprate,Class Room,No,"1,162.66",279.76,559.52,9.12,1,2,1,0,Limited,29/10/2004 E.C,30/10/2004 E.C,16740315.09,30/10/2007,16876627.41,180.00,1095.00
48,DTU,Dove Construction PLC,MH Engineering PLC,G+2 seminar SE M1 building,Debre Tabor,Urban,Temprate,seminar,No,756.05,464.86,"1,394.58",11.97,1,3,2,0,Limited,29/10/2004 E.C,30/10/2004 E.C,17332997.37,30/10/2008,17481295.76,180.00,1095.00
49,DTU,Keset G.C,Ultimate Plan PLC,Student Launge Building,Debre Tabor,Urban,Temprate,Launge,No,996.5,391.28,391.28,7.21,1,1,0,0,Open,12/06/2006 E.C,16/06/2006 E.C,1299179.71,16/02/2008 E.C,1304639.19,270.00,610.00
50,DTU,Keset G.C,Ultimate Plan PLC,G+1 class room CL-D building,Debre Tabor,Urban,Temprate,class room,No,"1,162.66",279.76,559.52,9.12,1,2,1,0,Open,12/06/2006 E.C,16/06/2006 E.C,6913624.79,16/02/2008 E.C,6942677.59,270.00,610.00
51,DTU,Keset G.C,Ultimate Plan PLC,G+2 seminar SE M1 building,Debre Tabor,Urban,Temprate,seminar,No,756.05,464.86,"1,394.58",11.97,1,3,2,0,Open,12/06/2006 E.C,16/06/2006 E.C,7425951.73,16/02/2008 E.C,7457157.46,270.00,610.00
52,DTU,Keset G.C,Ultimate Plan PLC,G+2 Class Room CL-D1 Building ,Debre Tabor,Urban,Temprate,Class Room,No,"1,769.42",279.5,559,9.12,1,2,1,0,Open,08/07/2006 E.C,10/07/2006 E.C,7988125.35,10/09/2008 E.C,14063600.97,210.00,790.00
53,DTU,Keset G.C,Ultimate Plan PLC,G+1 class room CL-T1 building,Debre Tabor,Urban,Temprate,Class Room,No,574.74,260.5,521,6.77,1,2,1,0,Open,08/07/2006 E.C,10/07/2006 E.C,4859397.93,10/09/2008 E.C,8555278.06,210.00,790.00
54,DTU,Keset G.C,Ultimate Plan PLC,G+2 Dormitory Do-T1 Building,Debre Tabor,Urban,Temprate,Dormitory,No,626.85,297.65,892.9,11.7,1,3,2,0,Open,24/06/2006 E.C,24/06/2006 E.C,5758622.55,16/06/2007 E.C,6201647.50,270.00,358.00
55,DTU,Keset G.C,Ultimate Plan PLC, 2 Washing Basin Building,Debre Tabor,Urban,Temprate,Washing Basin,No,288,144,288,4.1,2,2,0,0,Open,24/06/2006 E.C,24/06/2006 E.C,750435.18,16/06/2007 E.C,808636.60,270.00,358.00
56,DTU,Alemnew Abrha B.C,Ultimate Plan PLC,G+1 Class Room CL-D1 Building,Debre Tabor,Urban,Temprate,Class room,No,"1,769.42",260.51,521,9.12,1,2,1,0,Limited,22/03/2007 E.C,25/03/2007 E.C,6241076.15,15/08/2008 E.C,6395042.49,210.00,595.00
57,DTU,Alemnew Abrha B.C,Ultimate Plan PLC,G+1 class room CLS building,Debre Tabor,Urban,Temprate,Class Room,No,"1,045.48",279.5,559,6.77,1,2,1,0,Limited,22/03/2007 E.C,25/03/2007 E.C,6245076.15,15/08/2008 E.C,6395045.49,210.00,595.00
58,DTU,Alemnew Abrha B.C,Ultimate Plan PLC,G+1 work shop building,Debre Tabor,Urban,Temprate,work shop,No,574.74,231.68,926.72,9.35,2,4,2,0,Limited,22/03/2007 E.C,25/03/2007 E.C,1388150.26,15/08/2008 E.C,1421485.17,210.00,595.00
59,DTU,Alemnew Abrha B.C,CDSCO,G+1 Laboratoty CYT Building,Debre Tabor,Urban,Temprate,laboratory,No,"1,769.90",647,"1,941.00",13.37,1,3,2,0,Open,29/10/2004 E.C,05/11/04 E.C,16439682.76,04/09/07 E.C,17869220.39,365.00,1029.00
60,DTU,Alemnew Abrha B.C,CDSCO,G+1 teachers launge TL-T1 building,Debre Tabor,Urban,Temprate,lounge,No,239.12,137.9,275.8,8.01,1,2,1,0,Open,29/10/2004 E.C,05/11/04 E.C,1404577.49,04/09/07 E.C,1526714.66,365.00,1029.00
61,DTU,Abay Demissie B.C,MH Engineering PLC,G+1 Audiomax Building,Debre Tabor,Urban,Temprate,Hall,No,"2,050.51",755.83,"1,511.65",10,1,2,1,0,Open,29/10/2004 E.C,30/10/2004 E.C,11236546.70,24/02/2007 E.C,12761495.52,240.00,849.00
62,DTU,Abay Demissie B.C,MH Engineering PLC,G+2 Dormitory Do-T1 WTV Building,Debre Tabor,Urban,Temprate,Dormitory,No,626.85,297.65,892.96,11.7,1,3,2,0,Open,29/10/2004 E.C,30/10/2004 E.C,6764924.92,24/02/2007 E.C,7683015.20,240.00,849.00
63,DTU,Abay Demissie B.C,Building & Urban Design & Supervision on Work Sector,G+4 Staff Apartment Building,Debre Tabor,Urban,Temprate,Residential,No,"1,200.00",564.79,"2,823.96",20.63,1,5,4,0,Limited,18/09/2009 E.C,19/09/2009 E.C,48969974.91,29/07/2013 E.C,92553252.60,766.00,1259.00
64,DTU,Takele Tadele B.C,CDSCO,G+2 Dormitory Do-CYT Building,Debre Tabor,Urban,Temprate,Dormitory,No,"1,290.03",615.1,"1,845.29",10.79,1,3,2,0,Open,26/03/2007 E.C,26/03/2007 E.C,13906622.93,12/04/2008 E.C,13906622.93,270.00,381.00
65,DTU,Takele Tadele B.C,CDSCO, Lecture Hall DHB-T2 Building,Debre Tabor,Urban,Temprate,Lecture Hall,No,493.59,704.96,704.96,7.87,1,1,0,0,Open,26/03/2007 E.C,26/03/2007 E.C,2862497.63,12/04/2008 E.C,2862497.63,270.00,381.00
66,DTU,Abay Demissie B.C,Ultimate Plan PLC,G+2 Dormitory CYT Building,Debre Tabor,Urban,Temprate,Dormitory,No,"1,290.03",348.5,"1,845.29",10.79,1,3,2,0,Open,12/02/2006 E.C,3/02/2006 E.C,16702406.08,04/04/2007 E.C,16702406.08,300.00,416.00
67,DTU,Abay Demissie B.C,Ultimate Plan PLC,G+2 Dormitory Do T3 Building,Debre Tabor,Urban,Temprate,Dormitory,No,272.64,215.2,"1,291.20",10.79,2,6,4,0,Open,12/02/2006 E.C,3/02/2006 E.C,5214228.86,04/04/2007 E.C,5214228.86,300.00,416.00
68,DTU,Agegn Demissie B.C,Ultimate Plan PLC,Dormitory Building,Debre Tabor,Urban,Temprate,Dormitory,No,"2,580.07",615.1,"3,690.58",10.79,2,6,2,0,Limited,29/10/2004 E.C,29/10/2004 E.C,24115289.50,19/05/2008 E.C,24595968.56,240.00,1295.00
69,DTU,Assefa Alemu B.C,Ultimate Plan PLC,3 Loundary Building,Debre Tabor,Urban,Temprate,Wasing Basin,No,432,144,432,4.1,3,3,0,0,Open,26/03/2007 E.C,08/04/2007 E.C,7682056.11,08/02/2008 E.C,8459799.74,270.00,305.00
70,DTU,Assefa Alemu B.C,Ultimate Plan PLC,G+2 Dormitory Do T1 Building,Debre Tabor,Urban,Temprate,Dormitory,No,784,297.65,892.96,11.7,1,3,2,0,Open,26/03/2007 E.C,08/04/2007 E.C,9435231.80,08/02/2008 E.C,10390469.74,270.00,305.00
71,DTU,Assefa Alemu B.C,Ultimate Plan PLC,Dormitory Do-T1 Building,Debre Tabor,Urban,Temprate,Dormitory,No,784,297.65,892.96,11.7,1,3,2,0,Open,24/06/2003 E.C,24/06/2003 E.C,5704757.68,25/08/2007 E.C,5773190.00,180.00,1522.00
72,DTU,Abay Demissie B.C,CDSCO,G+2 Dormitory Do-T1 Bulding,Addis Zemen,Sub Urban,Hot,Dormitory,No,877.86,297.65,892.96,11.7,1,3,2,0,Limited,27/11/2007 E.C,04/12/2007 E.C,7988125.36,04/12/2008 E.C,10324107.04,240.00,365.00
73,DTU,Melese Alebachew B.C,Ultimate Plan PLC,Lecture Hall Building,Debre Tabor,Urban,Temprate,Class Room,No,779.3,365.86,365.5,7.87,1,1,0,0,Open,23/10/2006 E.C,28/10/2006 E.C,2286793.27,18/01/2008 E.C,2409129.96,180.00,450.00
74,DTU,Melese Alebachew B.C,Ultimate Plan PLC,G+2 administration building,Debre Tabor,Urban,Temprate,Office,No,361.82,245.5,735.6,10.09,1,3,2,0,Open,23/10/2006 E.C,28/10/2006 E.C,4119211.05,18/01/2008 E.C,4339576.68,180.00,450.00
75,DTU,Melese Alebachew B.C,Ultimate Plan PLC,G+1 class room CL D1 building,Debre Tabor,Urban,Temprate,Class Room,No,"1,769.42",260.51,521,9.12,1,2,1,0,Open,23/10/2006 E.C,28/10/2006 E.C,6913624.79,18/01/2008 E.C,7283483.30,180.00,450.00
76,DTU,Asefa Negash B.C,CDSCO,G+2 Dormitory Do-T1 Building,Debre Tabor,Urban,Temprate,Dormitory,No,877.86,297.65,892.96,11.7,1,3,2,0,Open,12/02/2006 E.C,13/02/2006 E.C,6748581.40,13/02/2008 E.C,7086010.47,210.00,730.00
77,DTU,Asefa Negash B.C,CDSCO,Administration staff launge,Debre Tabor,Urban,Temprate,Launge,No,554.98,451,451,5.02,1,1,0,0,Open,12/02/2006 E.C,13/02/2006 E.C,2248786.49,13/02/2008 E.C,2361225.82,210.00,730.00
78,DTU,Asefa Negash B.C,CDSCO,G+2 teachers office DHB building,Debre Tabor,Urban,Temprate,Office,No,384.78,225.67,677.01,10.29,1,3,2,0,Open,12/02/2006 E.C,13/02/2006 E.C,4379876.40,13/02/2008 E.C,4602762.23,210.00,730.00
79,DTU,Assefa Alemu B.C,Ultimate Plan PLC,G+2 Dormitory Do-CYT Building,Debre Tabor,Urban,Temprate,Dormitory,No,"1,290.03",615.1,"1,845.29",10.49,1,3,2,0,Open,12/02/2006 E.C,12/02/2006 E.C,8003164.49,18/01/2007 E.C,8346638.20,270.00,336.00
80,DTU,Assefa Alemu B.C,Ultimate Plan PLC,G+2 Dormitory Do-T3 Building,Debre Tabor,Urban,Temprate,Dormitory,No,361.82,215.2,645.6,10.49,1,3,2,0,Open,12/02/2006 E.C,12/02/2006 E.C,6090164.49,18/01/2007 E.C,6526638.20,270.00,336.00
81,DTU,Assefa Alemu B.C,Ultimate Plan PLC,2 laundary building,Debre Tabor,Urban,Temprate,Washing Basin,No,288,288,288,4.1,2,2,0,0,Open,12/02/2006 E.C,12/02/2006 E.C,4197847.02,18/01/2007 E.C,4456266.48,270.00,336.00
